Anel, Ego0, SxEgo0, Alter0, SxAlter0, Ego1, SxEgo1, Alter1, SxAlter1, Percurso, BarryPercurso, Parente, Casal0, Casal1, Geração0, Lateral0, Geração1, Lateral1, Cnx0, Cnx1
1394, 2462, m, 2465, f, 2485, m, 2614, f, 2462 2219 2605 2607 2526 2529 2614 2485 2198 2197 2194 2178 2465 , m2462 m2219 f2605 (m2607) f2526 m2529 f2614 m2485 m2198 (f2197) m2194 f2178 f2465 , FMFDSDHFMSDD, 2462 2465, 2485 2614, G0, 3, G-1, 2, 7, 5
1395, 2462, m, 2465, f, 2485, m, 2614, f, 2462 2219 2605 2607 2526 2529 2614 2485 2200 2474 2475 2202 2195 2178 2465 , m2462 m2219 f2605 (m2607) f2526 m2529 f2614 m2485 f2200 m2474 (m2475) m2202 f2195 f2178 f2465 , FMFDSDHMFFSDDD, 2462 2465, 2485 2614, G0, 3, G-1, 3, 7, 7
1396, 2462, m, 2465, f, 2485, m, 2614, f, 2462 2219 2605 2607 2526 2529 2614 2485 2200 2474 2476 2202 2195 2178 2465 , m2462 m2219 f2605 (m2607) f2526 m2529 f2614 m2485 f2200 m2474 (f2476) m2202 f2195 f2178 f2465 , FMFDSDHMFMSDDD, 2462 2465, 2485 2614, G0, 3, G-1, 3, 7, 7
1397, 2462, m, 2465, f, 2485, m, 2614, f, 2462 2219 2605 6117 2526 2529 2614 2485 2198 2196 2194 2178 2465 , m2462 m2219 f2605 (f6117) f2526 m2529 f2614 m2485 m2198 (m2196) m2194 f2178 f2465 , FMMDSDHFFSDD, 2462 2465, 2485 2614, G0, 3, G-1, 2, 7, 5
1398, 2462, m, 2465, f, 2485, m, 2614, f, 2462 2219 2605 6117 2526 2529 2614 2485 2198 2197 2194 2178 2465 , m2462 m2219 f2605 (f6117) f2526 m2529 f2614 m2485 m2198 (f2197) m2194 f2178 f2465 , FMMDSDHFMSDD, 2462 2465, 2485 2614, G0, 3, G-1, 2, 7, 5
1399, 2462, m, 2465, f, 2485, m, 2614, f, 2462 2219 2605 6117 2526 2529 2614 2485 2200 2474 2475 2202 2195 2178 2465 , m2462 m2219 f2605 (f6117) f2526 m2529 f2614 m2485 f2200 m2474 (m2475) m2202 f2195 f2178 f2465 , FMMDSDHMFFSDDD, 2462 2465, 2485 2614, G0, 3, G-1, 3, 7, 7
1400, 2462, m, 2465, f, 2485, m, 2614, f, 2462 2219 2605 6117 2526 2529 2614 2485 2200 2474 2476 2202 2195 2178 2465 , m2462 m2219 f2605 (f6117) f2526 m2529 f2614 m2485 f2200 m2474 (f2476) m2202 f2195 f2178 f2465 , FMMDSDHMFMSDDD, 2462 2465, 2485 2614, G0, 3, G-1, 3, 7, 7
1401, 2462, m, 2465, f, 2492, m, 2491, f, 2462 2220 2436 2210 2491 2492 2478 2474 2475 2202 2195 2178 2465 , m2462 f2220 (m2436) m2210 f2491 m2492 m2478 m2474 (m2475) m2202 f2195 f2178 f2465 , MFSDHFFFSDDD, 2462 2465, 2491 2492, G0, 2, G-1, 3, 5, 7
1402, 2462, m, 2465, f, 2492, m, 2491, f, 2462 2220 2436 2210 2491 2492 2478 2474 2476 2202 2195 2178 2465 , m2462 f2220 (m2436) m2210 f2491 m2492 m2478 m2474 (f2476) m2202 f2195 f2178 f2465 , MFSDHFFMSDDD, 2462 2465, 2491 2492, G0, 2, G-1, 3, 5, 7
1403, 2462, m, 2465, f, 2492, m, 2491, f, 2462 2220 2437 2210 2491 2492 2478 2474 2475 2202 2195 2178 2465 , m2462 f2220 (f2437) m2210 f2491 m2492 m2478 m2474 (m2475) m2202 f2195 f2178 f2465 , MMSDHFFFSDDD, 2462 2465, 2491 2492, G0, 2, G-1, 3, 5, 7
1404, 2462, m, 2465, f, 2492, m, 2491, f, 2462 2220 2437 2210 2491 2492 2478 2474 2476 2202 2195 2178 2465 , m2462 f2220 (f2437) m2210 f2491 m2492 m2478 m2474 (f2476) m2202 f2195 f2178 f2465 , MMSDHFFMSDDD, 2462 2465, 2491 2492, G0, 2, G-1, 3, 5, 7
1405, 2462, m, 2465, f, 2492, m, 2491, f, 2462 2219 2604 2482 2492 2491 2206 2194 2178 2465 , m2462 m2219 (m2604) f2482 m2492 f2491 f2206 (m2194) f2178 f2465 , FFDSWMFDD, 2462 2465, 2491 2492, G0, 2, G0, 2, 5, 4
1406, 2462, m, 2465, f, 2492, m, 2491, f, 2462 2219 2604 2482 2492 2491 2206 2195 2178 2465 , m2462 m2219 (m2604) f2482 m2492 f2491 f2206 (f2195) f2178 f2465 , FFDSWMMDD, 2462 2465, 2491 2492, G0, 2, G0, 2, 5, 4
